host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,86,150,100,150,0,0.26,1,2,1,2,0,0,2,2,8,88,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,100,150,100,70,15,1.99,1,4,1,1,7,11,18,277,70,86,0,0
within a few hours,Bayview,House,Private room,Real Bed,moderate,94124,98,150,100,45,30,1.67,1,4,1,1,0,0,16,16,36,92,0,0
within an hour,Visitacion Valley,Apartment,Private room,Real Bed,flexible,94134,100,150,100,30,15,5.11,1,7,1,1,8,29,56,331,8,93,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,100,150,100,60,20,0.5,1,2,1,1,0,1,12,64,5,96,0,0
within a day,Hayes Valley,Apartment,Entire home/apt,Real Bed,moderate,94102,51,150,100,75,0,1.24,1,2,1,1,11,32,61,328,7,91,0,0
within an hour,South Beach,Apartment,Private room,Real Bed,strict,94107,79,158,100,40,25,1.19,1,2,1,1,17,47,77,352,5,100,0,0
within a few hours,South Beach,Apartment,Private room,Real Bed,strict,94105,84,159,100,45,20,4.29,1,2,1,1,17,39,65,65,7,77,0,0
within an hour,Outer Sunset,Apartment,Entire home/apt,Real Bed,moderate,94122,92,159,100,75,25,3.51,1,6,1,1,3,12,40,309,60,89,0,0
within a day,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,86,160,100,100,0,0.33,0.67,5,1.5,3,12,22,22,22,9,100,0,0
within a few hours,Bayview,House,Private room,Real Bed,moderate,94124,98,160,100,50,30,2.76,1,5,1,1,8,8,24,24,60,93,0,0
within an hour,Bernal Heights,Apartment,Entire home/apt,Real Bed,strict,94110,100,160,100,75,0,4.2,1,2,1,1,4,9,14,277,103,98,0,0
within a few hours,Hayes Valley,Apartment,Entire home/apt,Real Bed,strict,94102,86,160,100,80,0,0.86,1,4,1,1,4,6,15,16,2,100,0,0
within an hour,Hayes Valley,Apartment,Private room,Real Bed,moderate,94102,53,160,100,80,70,0.66,1,4,1.5,1,4,13,15,197,4,95,0,0
within a few hours,Hayes Valley,House,Private room,Real Bed,strict,94102,93,163,100,35,50,2.74,1,1,1,1,0,0,5,5,54,95,1,1
within a day,The Castro,Apartment,Private room,Real Bed,strict,94114,89,165,100,15,25,3.22,0.9,2,1.5,1,18,29,49,319,52,98,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,88,165,100,50,0,4,1,2,1,1,0,0,0,123,4,85,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,67,165,100,100,50,0.68,0.9,2,1,1,0,0,5,280,16,100,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94114,100,165,100,60,25,1.81,1,4,1,1,15,18,31,108,75,94,1,1
within an hour,Mission Terrace,Apartment,Entire home/apt,Real Bed,moderate,94112,100,167,100,70,0,3.11,1,4,1,1,10,36,65,337,11,95,0,0
within a few hours,Hayes Valley,House,Private room,Real Bed,strict,94102,93,168,100,35,35,2.46,1,2,1,1,1,1,6,6,28,96,1,1
within an hour,Ingleside,House,Entire home/apt,Real Bed,moderate,94112,100,169,100,75,0,1.84,1,4,1,1,4,7,28,292,36,95,0,0
a few days or more,Lower East Side,Apartment,Entire home/apt,Real Bed,strict,94115,48,170,100,100,25,0.36,0.4,3,1,2,30,60,90,90,3,80,0,0
within a few hours,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,50,170,100,200,40,0.65,0.8,4,1,2,0,17,41,107,22,91,0,0
within an hour,Hayes Valley,Apartment,Entire home/apt,Real Bed,strict,94102,53,170,100,80,90,1.87,1,3,1.5,1,4,13,14,252,45,97,0,0
within a day,Duboce Triangle,Apartment,Entire home/apt,Real Bed,strict,94117,100,170,100,100,0,0.63,0.9,3,1,1,3,6,15,269,53,97,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94109,68,175,100,35,0,3,0.99,2,1,1,12,31,61,331,3,80,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,175,100,85,0,1.84,1,3,1,1,0,9,39,307,75,91,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94109,100,175,100,25,0,1,1,2,1,1,19,42,66,187,1,100,0,0
within an hour,Potrero Hill,House,Entire home/apt,Real Bed,strict,94107,100,178,100,100,0,2.98,0.8,2,1,0,0,0,26,297,27,94,0,0
within a few hours,Mission District,House,Entire home/apt,Real Bed,moderate,94110,100,179,100,25,0,0.23,1,2,1,1,1,1,8,8,8,100,0,0
within a few hours,Central Business District,Condominium,Entire home/apt,Real Bed,strict,94109,57,180,100,79,0,0.75,1,4,1,1,7,21,35,293,3,100,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,100,182,100,75,25,4.84,1,8,1,2,4,5,13,257,125,95,0,0
within an hour,Russian Hill,Apartment,Entire home/apt,Real Bed,moderate,94133,100,185,100,60,25,2.61,1,2,1,1,5,11,25,259,70,94,0,0
within a few hours,Bernal Heights,Apartment,Entire home/apt,Real Bed,strict,94110,100,185,100,60,11,0.45,1,4,1,2,2,2,2,7,28,98,1,1
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,flexible,94103,100,189,100,75,0,0.56,1,2,1,0,6,23,23,39,4,100,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,97,189,100,75,0,4.15,0.9,2,1,1,1,8,22,285,148,96,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94114,92,189,100,106,0,2.86,0.93,4,1,1,0,0,0,0,79,86,0,0
within an hour,Outer Sunset,House,Entire home/apt,Real Bed,moderate,94116,96,189,100,50,0,0.88,1,2,1,1,19,40,70,345,18,91,0,0
within a few hours,Soma,Condominium,Private room,Real Bed,strict,94111,96,190,100,100,40,0.13,0.77,2,1,1,30,60,90,365,5,100,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,flexible,94118,100,190,100,20,20,1,1,6,1,2,0,0,0,4,33,97,0,0
within an hour,Pacific Heights,Apartment,Private room,Real Bed,moderate,94115,100,190,100,40,100,0.65,1,2,1,1,0,0,29,119,5,96,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94114,100,190,100,50,25,2.53,1,4,1,1,8,12,29,100,96,95,1,1
within a few hours,Mission District,House,Entire home/apt,Real Bed,moderate,94114,100,190,100,50,0,2.03,1,2,1,1,16,27,29,45,73,95,1,1
within a day,Hayes Valley,Apartment,Entire home/apt,Real Bed,moderate,94102,100,190,100,75,0,1.76,1,2,1,1,9,24,54,199,20,95,0,0
within a day,Marina,Apartment,Entire home/apt,Real Bed,moderate,94123,63,195,100,70,30,1.5,1,2,1,1,3,3,3,3,2,100,0,0
within an hour,The Castro,Apartment,Private room,Real Bed,flexible,94114,100,195,100,50,0,2.31,0.89,2,1,1,30,34,64,64,4,100,0,0
within a few hours,Bernal Heights,Condominium,Entire home/apt,Real Bed,flexible,94110,100,195,100,50,10,3.03,1,4,1,2,3,14,17,224,24,93,0,0
within a few hours,Nob Hill,Apartment,Entire home/apt,Real Bed,flexible,94109,100,195,100,75,45,1.51,1,4,1,1,3,3,6,18,7,100,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,197,100,70,0,0.71,0.8,3,1,1,1,6,7,245,21,98,0,0
within a few hours,Glen Park,House,Entire home/apt,Real Bed,moderate,94131,86,198,100,85,50,0.76,1,5,1,2,1,1,1,41,21,97,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,87,199,100,40,0,2.31,1,2,1,1,17,41,52,52,17,99,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94110,92,199,100,60,0,0.31,0.93,2,1,1,0,0,0,0,10,94,0,0
within an hour,Duboce Triangle,Apartment,Entire home/apt,Real Bed,strict,94114,100,199,100,95,25,2.67,1,4,1,1,2,2,2,2,94,89,1,1
within an hour,Nob Hill,Apartment,Private room,Real Bed,moderate,94109,99,199,100,65,0,2.79,0.98,2,1,1,14,42,68,339,39,88,0,0
within an hour,Nob Hill,Apartment,Private room,Real Bed,flexible,94109,99,199,100,99,0,1.38,0.98,2,1,1,25,55,85,355,13,98,0,0
within an hour,Civic Center,Apartment,Entire home/apt,Real Bed,strict,94102,100,200,100,70,0,2.44,1,2,1,0,7,13,25,27,16,95,0,0
within a day,Pacific Heights,Condominium,Entire home/apt,Real Bed,moderate,94123,100,200,100,125,0,0.95,0.6,2,1,1,3,3,3,185,8,94,0,0
within an hour,Glen Park,Apartment,Entire home/apt,Real Bed,moderate,94131,100,200,100,75,0,5.99,1,2,1,1,2,9,28,298,135,97,0,0
within a few hours,Potrero Hill,House,Entire home/apt,Real Bed,strict,94107,100,200,100,100,0,2.84,1,4,1,2,1,21,41,311,19,91,0,0
within an hour,Potrero Hill,House,Entire home/apt,Real Bed,moderate,94107,100,200,100,30,65,2.48,1,2,1,1,8,35,65,150,77,95,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94115,86,200,100,85,20,0.88,1,5,1,2,25,52,82,98,25,83,0,0
within a day,Nob Hill,Apartment,Entire home/apt,Real Bed,flexible,94133,100,210,100,80,0,1.72,0.9,3,1,1,1,2,2,2,18,94,0,0
within a few hours,Alamo Square,House,Private room,Real Bed,flexible,94117,60,210,100,100,20,0.73,0.8,2,1,1,30,60,90,363,2,100,0,0
within a few hours,Downtown,Apartment,Entire home/apt,Real Bed,strict,94109,66,215,100,100,0,2.14,1,4,1,1,4,8,19,260,36,94,0,0
within a few hours,Bayview,House,Entire home/apt,Real Bed,strict,94124,99,215,100,110,15,1.18,0.92,5,1,2,12,25,54,196,31,85,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94115,54,218,100,28,25,1.51,1,5,2,2,6,28,58,328,32,87,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,219,100,100,70,4.69,1,6,1,1,3,18,33,304,74,93,0,0
within an hour,Cow Hollow,House,Entire home/apt,Real Bed,flexible,94123,100,225,100,50,50,0.6,1,2,1,1,0,0,0,0,16,86,0,0
within an hour,Glen Park,House,Private room,Real Bed,moderate,94131,80,225,100,50,0,3,1,4,1,1,12,27,53,143,3,93,0,0
within a few hours,The Castro,House,Entire home/apt,Real Bed,strict,94114,100,225,100,30,25,3.94,1,4,1,1,16,37,53,325,50,88,0,0
within a few hours,Outer Sunset,House,Entire home/apt,Real Bed,moderate,94122,41,225,100,75,25,0.62,1,3,1,1,17,40,70,345,13,97,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,100,229,100,120,0,1.75,1,4,1,2,2,9,14,285,16,100,0,0
within an hour,Marina,Apartment,Entire home/apt,Real Bed,strict,94123,48,229,100,40,0,0.93,1,2,1,1,17,32,62,152,57,91,0,0
within a few hours,Bernal Heights,Condominium,Entire home/apt,Real Bed,strict,94110,100,232,100,85,0,0.11,1,4,1,2,17,34,35,309,1,100,0,0
within a few hours,Mission District,House,Entire home/apt,Real Bed,moderate,94114,100,235,100,70,25,2.43,1,4,1.5,1,5,19,20,36,107,93,1,1
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94117,21,240,100,50,0,1.31,1,2,1,1,2,32,62,337,21,99,0,0
within a day,Outer Sunset,Apartment,Entire home/apt,Real Bed,moderate,94122,100,249,100,100,45,0.94,0.91,5,1,1,17,40,70,345,32,97,0,1
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94103,80,250,100,80,25,0.31,1,4,1,2,5,22,32,44,7,92,0,0
within an hour,Richmond District,House,Private room,Real Bed,strict,94118,100,250,100,75,0,1.78,1,2,1,1,30,60,90,365,38,89,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,68,250,100,25,60,1.46,0.99,4,1,2,24,50,80,80,15,96,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94103,53,259,100,100,40,0.63,0.92,5,2,2,0,11,16,35,6,97,0,0
