host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1.61,0.91,2,2,1,0,30,60,335,3,93,0,0
within an hour,Lower Haight,House,Private room,Real Bed,moderate,94117,0.69,195,350,0,120,1.78,1,2,1,1,27,57,87,362,89,99,1,1
within an hour,Haight-Ashbury,House,Private room,Real Bed,strict,94117,0.76,149,0,100,0,0.65,1,2,1,1,10,15,39,314,6,100,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,0.8,120,100,55,0,5.08,0.97,2,1,1,2,14,44,44,146,93,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,0.91,60,0,25,30,0.7,0.89,2,1,1,8,8,8,71,25,93,1,1
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,flexible,94117,1,110,100,25,10,0.2,0.91,2,1,1,0,22,52,52,7,94,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,0.93,200,0,50,0,4.29,1,4,2,1,0,0,4,4,5,92,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Pull-out Sofa,moderate,94117,1,129,200,40,0,3.35,1,2,1,1,4,11,24,104,199,95,1,1
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94115,0.96,165,500,125,25,1.8,1,5,1,1,1,12,17,283,69,91,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1,1,2,2,1,27,57,87,362,1,60,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,0.86,250,200,100,50,3.04,1,4,1,1,10,35,65,336,120,97,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94114,1,135,200,60,0,3.18,1,2,1,1,4,15,38,307,135,97,1,1
within an hour,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,1,295,250,75,15,2.25,1,4,1,1,9,17,28,292,95,94,0,0
within an hour,Mar Vista,House,Entire home/apt,Real Bed,strict,94117,1,434,500,175,20,0,1,8,2,3,7,21,41,309,0,0,0,0
within a day,Cole Valley,House,Private room,Couch,strict,94117,1,150,250,45,0,0.16,0.5,2,1,1,29,59,89,364,2,100,0,0
within an hour,Cole Valley,Apartment,Private room,Real Bed,flexible,94117,0,60,150,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,1,300,300,150,20,0.97,0.9,6,1.5,2,10,16,22,289,56,96,0,0
within a day,Cole Valley,Apartment,Entire home/apt,Real Bed,flexible,94117,1,210,400,70,0,1.93,1,2,1,1,0,0,11,260,11,100,0,0
within an hour,Cole Valley,House,Private room,Real Bed,strict,94117,0.89,89,200,50,12,0.13,1,3,0,1,30,60,90,365,5,64,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,0.63,110,0,25,25,4.66,1,2,1,1,11,28,58,58,66,99,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,1,120,0,75,0,2.32,1,2,1,1,2,3,28,113,40,94,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,1,143,100,45,35,2.06,0.89,2,1,0,0,3,3,3,11,96,0,0
within an hour,Lower Haight,House,Private room,Real Bed,moderate,94117,0.69,165,350,0,120,2.15,1,2,1,1,22,52,78,353,108,99,1,1
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,moderate,94117,0.88,400,600,120,25,0.83,1,6,2,3,0,5,10,10,4,95,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,1,150,200,55,25,2.79,1,2,1,1,16,33,57,332,69,100,0,0
within a few hours,Western Addition/NOPA,House,Entire home/apt,Real Bed,moderate,94117,1,425,500,150,50,1.79,1,6,1.5,3,7,12,38,138,52,98,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,243,350,120,25,3.34,0.83,4,1,2,2,5,11,266,32,93,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,0.38,245,200,110,0,1.9,1,4,1.5,2,11,29,59,96,65,93,1,1
within a day,Cole Valley,Apartment,Entire home/apt,Real Bed,moderate,94117,0.6,320,500,150,0,0.09,0.67,6,2,3,7,11,11,224,2,100,0,0
within an hour,Lower Haight,House,Private room,Real Bed,moderate,94117,0.69,215,350,0,120,1.15,1,2,1,1,30,60,90,365,56,100,1,1
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,0.93,1,2,2,1,26,56,86,361,3,87,0,0
within a day,Cole Valley,House,Private room,Real Bed,strict,94117,1,99,200,45,0,0,0.5,2,1,1,29,59,89,364,0,0,0,0
within an hour,Lower Haight,House,Private room,Real Bed,moderate,94117,0.69,245,350,0,100,1.54,1,2,1,1,30,60,90,362,76,99,1,1
within a day,Cole Valley,House,Private room,Real Bed,flexible,94117,1,99,200,45,0,0.06,0.5,2,1,1,29,59,89,364,1,40,0,0
within a day,Haight-Ashbury,House,Private room,Real Bed,strict,94114,0.25,120,500,70,50,0.39,0.7,2,1,1,30,60,90,365,11,92,0,0
within a few hours,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,strict,94117,1,305,500,115,0,0,1,4,1,2,3,21,41,43,0,0,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,1,195,300,85,0,3.93,1,2,1,1,5,12,14,267,81,97,0,0
within an hour,Lower Haight,Condominium,Entire home/apt,Real Bed,strict,94117,1,350,500,150,0,2,1,7,2,3,2,2,13,67,3,100,0,0
within a day,Cole Valley,House,Entire home/apt,Real Bed,strict,94117,0,600,0,150,100,0.17,1,8,2.5,4,3,3,3,11,2,100,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,moderate,94118,0,110,150,35,0,1.86,1,2,1,1,0,0,0,0,10,100,0,0
within a few hours,Lower Haight,Apartment,Entire home/apt,Real Bed,flexible,94117,0.97,169,0,39,0,1.17,0.82,5,1,1,4,4,4,4,9,91,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,1,350,0,50,0,0.4,0.75,2,2,1,24,51,81,356,5,96,0,0
within a few hours,Lower Haight,Apartment,Entire home/apt,Real Bed,strict,94117,1,425,350,150,0,0,1,8,3,4,1,6,17,17,0,0,0,0
within an hour,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,1,145,100,25,0,1.27,1,2,1,1,0,0,0,0,30,94,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,1,175,0,0,0,0.63,1,2,1,1,0,0,0,0,1,100,0,0
within a few hours,Western Addition/NOPA,House,Private room,Real Bed,moderate,94117,1,140,0,25,10,3.08,1,2,1,1,0,0,0,274,79,98,0,0
within an hour,Cole Valley,Apartment,Private room,Real Bed,strict,94117,0.89,65,200,50,12,0.18,1,2,4,1,30,60,90,365,15,82,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Real Bed,flexible,94117,1,180,0,0,100,1.7,1,2,1.5,2,8,8,8,246,3,100,0,0
within a few hours,Haight-Ashbury,Condominium,Private room,Real Bed,moderate,94117,1,175,0,0,40,1.4,1,2,1.5,1,29,53,83,358,14,99,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,1,80,0,20,0,2.85,1,1,1,1,0,0,0,0,19,100,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,0.83,115,200,75,0,1.11,0.89,2,1,1,1,1,1,1,7,97,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,1,350,150,100,0,2.97,0.86,6,1,3,0,0,0,151,19,97,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,99,0,0,0,0.19,1,2,1,1,2,11,11,11,2,100,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,0.99,102,200,30,0,3.43,1,2,2,1,9,24,50,325,201,92,0,0
within an hour,Lower Haight,Apartment,Private room,Futon,moderate,94117,0.88,150,0,0,15,0.95,1,2,1,1,16,41,48,80,22,99,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,0.86,210,600,80,0,1.22,1,3,1,2,0,11,32,117,2,100,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,0.99,108,200,30,30,3.37,1,4,2,1,4,16,39,314,197,91,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,0.99,96,200,20,0,2.92,1,2,2,1,10,34,64,339,30,87,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,1,120,500,30,300,2.54,1,2,1,1,0,0,4,4,27,96,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,1,99,200,30,10,2.17,0.99,2,1,1,27,57,87,362,80,88,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1,0.91,2,2,1,8,33,63,338,1,40,0,0
within an hour,Cole Valley,House,Private room,Real Bed,strict,94117,1,139,300,50,0,3.08,1,2,1,1,3,20,50,50,55,96,0,0
within a few hours,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,1,90,0,0,0,7.85,1,2,1,1,0,4,7,267,314,89,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,1,190,0,0,0,3,1,2,1,1,0,0,0,0,3,93,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,0.75,185,500,100,0,0.93,1,4,1,1,0,1,9,9,27,94,0,0
within a few hours,Western Addition/NOPA,House,Entire home/apt,Real Bed,moderate,94117,1,285,300,125,0,1.77,1,6,1,1,6,11,21,260,77,99,0,0
within a day,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,0.67,72,0,0,0,0.26,0.75,2,1,1,24,24,45,61,2,100,0,0
within a few hours,Haight-Ashbury,House,Entire home/apt,Real Bed,flexible,94117,0.9,185,200,50,5,4.83,1,3,1,1,0,1,3,204,126,95,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,0.98,100,0,0,0,7.11,1,2,1,1,3,7,8,8,23,94,0,0
within an hour,Haight-Ashbury,Condominium,Entire home/apt,Real Bed,moderate,94117,1,195,200,82,0,4.69,1,2,1,0,2,6,10,79,10,100,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,0.77,300,500,100,60,1.55,1,5,2,4,9,15,22,66,3,100,0,0
within a few hours,Haight-Ashbury,House,Private room,Real Bed,strict,94117,0.92,150,0,65,0,3.78,0.96,2,1,1,6,29,53,140,36,96,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,0.78,150,0,85,0,1.65,0.7,2,1,1,1,6,9,9,10,94,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,0.99,85,200,30,0,3.68,1,2,2,1,1,4,13,280,215,87,0,0
within an hour,Cole Valley,Condominium,Entire home/apt,Real Bed,flexible,94117,1,490,0,0,25,0.52,1,6,2,3,2,25,55,326,5,96,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,1,225,200,100,0,0.26,1,5,1,2,0,0,0,0,8,91,0,0
within a day,Western Addition,Condominium,Private room,Real Bed,flexible,94117,0.89,145,0,75,25,0.66,0.6,4,1,1,2,2,2,2,8,95,0,0
within an hour,Western Addition/NOPA,Condominium,Private room,Real Bed,moderate,94117,1,97,300,25,30,1.63,1,3,1,1,7,18,31,33,8,90,0,0
within a few hours,Western Addition/NOPA,House,Entire home/apt,Real Bed,moderate,94117,1,195,500,80,0,2.67,1,2,1,1,4,8,9,258,41,100,0,0
within a few hours,PanthêÜ´©on,House,Entire home/apt,Real Bed,strict,94117,1,440,0,150,0,0,1,7,2,4,5,6,6,22,0,0,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,0,300,500,250,100,0.09,1,2,1,2,3,7,36,311,2,100,0,0
within an hour,Santa Clara,House,Shared room,Real Bed,strict,94117,0.78,55,300,30,60,0.38,0.9,10,2,1,0,3,33,308,9,93,1,1
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,0.99,165,0,40,15,1.32,1,2,1,1,27,57,87,171,33,97,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,1,79,200,50,10,3.54,0.99,2,1,1,7,25,52,325,135,79,0,0
within an hour,Santa Clara,House,Shared room,Real Bed,strict,94117,0.78,55,300,30,60,0.46,0.9,10,2,1,26,56,86,361,10,100,1,1
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94115,1,250,0,85,0,1.68,1,2,1,0,13,43,69,85,6,97,0,0
within an hour,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,strict,94117,1,245,775,250,0,0,1,4,2,2,0,30,60,335,0,0,0,0
within a day,Haight-Ashbury,Condominium,Private room,Real Bed,moderate,94117,1,94,200,25,0,3.72,0.69,1,1.5,1,2,14,28,300,136,97,0,0
within a few hours,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,flexible,94117,1,450,0,175,0,2,1,6,1,2,17,19,19,19,2,100,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,1,175,0,55,0,4.53,1,2,1,0,5,12,21,280,141,98,0,0
within an hour,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,flexible,94117,0,250,500,80,0,0,1,4,1.5,2,0,0,0,0,0,0,0,0
within an hour,Western Addition/NOPA,House,Private room,Real Bed,strict,94117,0.95,159,500,49,15,7.69,1,6,1,1,7,22,48,320,72,96,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Pull-out Sofa,moderate,94117,1,175,200,75,0,0.89,1,2,1,0,8,8,8,8,13,100,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,0.47,190,0,40,0,1.2,1,2,1,1,16,20,20,263,5,96,0,0
within a few hours,Cole Valley,House,Private room,Real Bed,moderate,94117,0.77,125,200,50,10,0.6,0.94,2,0,1,24,49,79,354,7,94,0,0
within an hour,Cole Valley,House,Private room,Real Bed,strict,94117,0.89,65,200,50,12,0.19,1,2,4,1,16,46,76,351,11,80,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1.58,1,2,2,1,0,18,48,323,5,72,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,0.81,1,2,2,1,0,18,48,323,2,60,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,230,750,125,0,1.99,1,6,1,3,0,18,48,323,105,95,0,1
within a few hours,Haight-Ashbury,House,Entire home/apt,Pull-out Sofa,moderate,94117,0.83,389,0,50,0,0.31,1,4,1,2,0,6,11,11,7,100,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,195,200,100,20,2.16,1,4,1,1,5,17,28,229,128,98,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,111,500,100,0,0.07,1,4,1,2,0,0,0,1,3,100,1,1
within a day,Western Addition/NOPA,Apartment,Private room,Real Bed,flexible,94117,1,93,500,0,0,1,0.88,1,1,1,0,6,36,36,1,100,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1.4,1,2,2,1,0,16,46,321,2,80,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,1,265,400,60,0,4.38,1,2,1,0,23,38,56,56,57,99,0,0
within a day,Cole Valley,Apartment,Private room,Real Bed,strict,94117,0.82,100,0,15,0,2.59,0.9,2,1,1,3,28,58,333,5,100,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,1,650,0,200,0,1.73,1,6,2.5,4,4,11,26,293,61,97,1,1
within a few hours,Cole Valley,House,Entire home/apt,Real Bed,strict,94117,0.92,525,400,200,50,0.54,1,8,2,4,0,7,7,203,20,96,0,0
within a day,Cole Valley,House,Private room,Real Bed,flexible,94117,0.97,60,0,0,0,5.26,1,1,1,1,1,1,4,195,27,98,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,0.58,235,500,0,0,0.81,0.92,4,1,2,30,60,90,365,22,87,0,0
within a few hours,Western Addition/NOPA,House,Private room,Real Bed,strict,94117,0.81,100,0,50,20,1.24,1,2,1.5,1,0,9,39,314,14,97,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,198,200,100,50,2.9,1,4,1,1,9,36,66,299,86,94,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94117,0.81,289,600,175,0,0.44,0.82,4,1,2,5,28,57,324,3,100,0,0
within a few hours,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,0.81,79,0,0,0,1.42,1,1,1,1,0,11,35,308,103,95,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,1,69,200,50,15,3.76,0.99,2,1,1,1,10,27,298,148,79,0,0
within an hour,Haight-Ashbury,House,Entire home/apt,Real Bed,strict,94117,1,255,300,120,25,3.5,1,5,1,2,4,4,4,4,89,96,0,0
within a day,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,strict,94117,0.8,200,185,120,75,0.61,1,6,1,2,1,3,6,232,12,91,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Real Bed,flexible,94117,1,149,0,40,0,0.53,1,3,1,0,0,0,0,0,1,100,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,0.91,50,0,25,30,0.93,0.89,2,1,1,0,0,12,280,38,92,1,1
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1.07,1,2,2,1,24,54,84,359,2,90,0,0
within a day,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,0.8,85,95,15,0,1.18,0.6,2,1,1,0,0,0,0,2,80,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,0.5,195,0,65,30,0.39,0.7,3,1,1,0,14,44,319,16,100,0,0
within a few hours,Western Addition/NOPA,Condominium,Entire home/apt,Real Bed,strict,94117,0.5,525,0,200,0,1,1,7,1.5,4,7,7,26,26,1,100,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,0.67,190,500,80,0,0.37,0.6,4,1,1,4,9,9,193,3,87,0,0
within a few hours,Western Addition/NOPA,House,Entire home/apt,Real Bed,flexible,94117,1,195,0,0,0,6.39,1,2,1,1,1,5,11,72,49,99,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,79,100,65,25,1,1,2,2,1,27,43,43,317,1,80,0,0
within a day,Western Addition/NOPA,Apartment,Private room,Real Bed,moderate,94117,0.97,80,0,40,0,1.47,0.82,2,1,1,6,10,22,286,52,84,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,211,0,120,20,2.93,1,6,1,2,5,13,28,289,56,91,0,0
within an hour,Western Addition/NOPA,House,Entire home/apt,Real Bed,strict,94117,1,225,500,100,10,0.17,1,4,1,2,1,16,16,36,2,100,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,1,221,750,125,0,1.27,1,5,1,3,0,0,27,302,74,97,0,1
within a few hours,Cole Valley,House,Entire home/apt,Real Bed,strict,94117,1,575,500,150,0,0,1,6,3,4,0,5,5,5,0,0,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,0.71,140,200,80,20,1.8,0.9,4,1,1,0,3,7,245,26,94,0,0
within a few hours,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,0.5,150,0,0,0,1.03,1,1,1,1,4,32,62,337,23,97,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,0.93,150,300,50,0,2.67,1,2,1,1,6,9,15,269,102,92,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,0.77,195,200,100,0,4.25,0.7,2,1,1,8,38,68,343,15,100,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94117,0.43,150,0,0,0,2.37,1,2,1,0,1,1,4,244,68,98,0,0
within an hour,Haight-Ashbury,House,Entire home/apt,Real Bed,strict,94117,1,599,500,180,25,3.44,1,15,2.5,4,4,14,35,218,35,96,0,0
within an hour,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,1,190,500,90,15,3.99,1,4,1,1,6,10,14,88,205,96,0,0
within a few hours,Lower Haight,Apartment,Entire home/apt,Real Bed,strict,94117,0.92,190,350,70,0,2.16,1,2,1,1,0,13,38,304,75,98,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,1,79,200,30,10,4.48,0.99,2,0,1,1,20,36,305,164,83,0,0
within a few hours,Alamo Square,Apartment,Private room,Real Bed,flexible,94117,0.88,185,200,40,25,0.27,0.9,2,1,1,25,50,78,353,6,93,1,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,1,179,500,150,0,2.4,1,2,1,1,7,31,55,313,57,93,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,1,265,300,75,0,1.55,1,4,1,1,3,12,18,257,48,99,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,1,250,250,100,50,1.91,0.71,4,1,2,0,3,33,301,20,88,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,0.6,300,500,50,0,0.24,1,4,2,2,0,4,4,214,8,88,1,1
a few days or more,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,flexible,94117,1,139,0,0,0,0,0.4,4,1,3,0,0,0,0,0,0,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,1,350,500,200,20,0.7,1,6,1.5,3,2,2,2,143,13,98,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Real Bed,flexible,94117,1,800,0,100,0,0,1,6,1,2,0,0,0,0,0,0,0,0
a few days or more,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,1,90,0,20,15,0,0.25,2,1.5,1,10,20,50,325,0,0,0,0
within a few hours,Lower Haight,House,Entire home/apt,Real Bed,strict,94117,0.67,900,0,0,0,1,1,6,2.5,3,30,57,63,97,1,0,0,0
within a few hours,Lower Haight,Apartment,Private room,Real Bed,moderate,94117,0.97,89,0,30,0,2.52,0.82,2,1,1,1,1,1,1,20,97,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,strict,94117,1,65,200,0,0,0.47,1,1,1,1,0,0,0,213,1,100,0,0
within a day,Cole Valley,House,Entire home/apt,Real Bed,moderate,94117,0,375,0,150,0,0.04,1,4,2,2,0,5,17,292,1,100,0,0
within an hour,Cole Valley,Apartment,Private room,Real Bed,strict,94117,0.89,89,200,50,12,0.07,1,1,4,1,30,60,90,365,4,73,0,0
within an hour,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,1,60,0,20,0,3,1,2,1,1,0,0,0,0,3,93,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,1,174,0,75,0,0,1,2,1,1,0,0,0,0,0,0,0,0
within a few hours,Cole Valley,House,Entire home/apt,Real Bed,moderate,94117,0.77,350,500,100,10,0.24,0.94,6,2,3,23,49,79,350,3,93,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,0.33,425,0,60,40,0.22,0.7,6,1,2,30,37,37,37,5,92,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,1,155,0,50,0,5.89,0.9,2,1,1,0,12,42,317,145,96,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,flexible,94117,0.92,165,0,0,70,1.92,1,2,1,1,23,51,81,81,40,99,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Real Bed,moderate,94117,1,320,250,130,30,1.88,1,6,1,1,10,24,54,324,61,95,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,moderate,94117,0.4,119,500,25,0,1,1,1,1,1,30,60,90,365,1,100,0,0
within a few hours,Cole Valley,House,Entire home/apt,Real Bed,strict,94117,0.91,480,950,125,50,0.29,1,6,2,3,10,18,23,178,4,95,0,0
